         250       31125
 i,   j,   euc(i,j),   man(i,j)
     1     2  3664.133  3900.000
     1     3  2471.505  3085.000
     1     4  1553.639  1969.000
     1     5  1773.168  2437.000
     1     6  1672.100  2212.000
     1     7  2094.958  2867.000
     1     8  2481.305  3489.000
     1     9  2070.792  2414.000
     1    10  1435.564  2021.000
     1    11  2608.811  3670.000
     1    12  2187.337  2799.000
     1    13  1524.983  1761.000
     1    14  2920.850  3047.000
     1    15  1672.100  2212.000
     1    16   439.222   614.000
     1    17  1655.450  2326.000
     1    18  3459.509  4733.000
     1    19  3630.213  5130.000
     1    20  2227.919  2492.000
     1    21  2142.731  2864.000
     1    22  3892.758  4282.000
     1    23  3766.514  4147.000
     1    24  1827.749  1941.000
     1    25  3116.457  3411.000
     1    26  1678.071  2291.000
     1    27  3291.018  3302.000
     1    28  2036.651  2617.000
     1    29  3630.213  5130.000
     1    30  1522.005  1822.000
     1    31  1959.498  2540.000
     1    32  2948.634  3996.000
     1    33  3722.925  3805.000
     1    34  2294.772  3129.000
     1    35  1911.944  2697.000
     1    36  1614.194  2281.000
     1    37  1596.537  1826.000
     1    38  2871.648  2932.000
     1    39  2060.387  2828.000
     1    40  2634.826  3654.000
     1    41  1734.903  2392.000
     1    42   186.172   194.000
     1    43  1557.954  2174.000
     1    44  1847.694  2230.000
     1    45  1276.652  1769.000
     1    46  1691.169  2070.000
     1    47  1740.906  2462.000
     1    48  1952.133  2625.000
     1    49  1637.063  2264.000
     1    50  1713.292  1913.000
     1    51   457.053   613.000
     1    52  1818.660  2351.000
     1    53  1702.130  1943.000
     1    54  3354.063  4079.000
     1    55  2483.200  3239.000
     1    56  3352.805  4579.000
     1    57   369.489   388.000
     1    58  1492.941  2012.000
     1    59  1663.320  2062.000
     1    60  2467.921  3285.000
     1    61  1801.576  2527.000
     1    62  1565.009  2205.000
     1    63  1781.277  2433.000
     1    64  2843.520  4020.000
     1    65  1914.422  2682.000
     1    66  1672.100  2212.000
     1    67  1603.726  2155.000
     1    68  1148.690  1237.000
     1    69  2507.370  3489.000
     1    70  2468.352  2980.000
     1    71  2045.933  2878.000
     1    72  3586.932  4832.000
     1    73  1310.783  1759.000
     1    74  1714.318  1747.000
     1    75  2917.075  3867.000
     1    76  2490.017  3401.000
     1    77  3760.035  4699.000
     1    78  6048.414  8300.000
     1    79  2421.140  3424.000
     1    80  6464.042  8578.000
     1    81  5595.338  7913.000
     1    82  2007.288  2803.000
     1    83  4469.838  6235.000
     1    84  4624.476  6090.000
     1    85  4035.712  5703.000
     1    86  5463.436  7720.000
     1    87  1814.808  2566.000
     1    88  3172.997  4080.000
     1    89  4461.717  6072.000
     1    90  1780.232  2327.000
     1    91  2816.438  3923.000
     1    92  3653.148  4476.000
     1    93  3619.372  4795.000
     1    94  3402.962  3830.000
     1    95  2529.475  2578.000
     1    96  1594.474  1886.000
     1    97  6256.729  8417.000
     1    98  3558.321  3964.000
     1    99  6375.226  7401.000
     1   100  1453.492  2048.000
     1   101  4477.086  6014.000
     1   102  6128.198  8173.000
     1   103  4038.271  4815.000
     1   104  4572.208  6297.000
     1   105  3379.523  4580.000
     1   106  5091.704  6850.000
     1   107  4189.418  5665.000
     1   108  5288.058  6817.000
     1   109  3884.044  5100.000
     1   110  1276.006  1528.000
     1   111  2534.812  3403.000
     1   112  1958.220  2305.000
     1   113  5402.383  7001.000
     1   114  2274.168  2830.000
     1   115  6032.536  8158.000
     1   116  2150.240  2785.000
     1   117  7729.323 10644.000
     1   118  7528.905  9805.000
     1   119  4646.246  6060.000
     1   120  5572.264  7262.000
     1   121  3373.236  4104.000
     1   122  2554.321  3565.000
     1   123  5911.069  8184.000
     1   124  3843.316  4911.000
     1   125  1780.232  2327.000
     1   126  5125.352  7192.000
     1   127  4143.917  5698.000
     1   128  3612.191  4838.000
     1   129  1444.115  1597.000
     1   130  5768.567  7568.000
     1   131  3091.300  4316.000
     1   132  7465.646 10484.000
     1   133  5181.420  6897.000
     1   134  5319.164  7133.000
     1   135  5211.607  5654.000
     1   136  3585.897  4946.000
     1   137  5863.870  7943.000
     1   138  3962.909  5380.000
     1   139  3962.173  4375.000
     1   140  2422.013  3350.000
     1   141  3340.443  3582.000
     1   142  2406.697  3403.000
     1   143  6878.487  9070.000
     1   144  2727.879  3497.000
     1   145  2313.406  2821.000
     1   146  1386.018  1393.000
     1   147  6239.208  8332.000
     1   148  4120.444  5589.000
     1   149  4957.385  6794.000
     1   150  2461.866  3231.000
     1   151  4101.087  5714.000
     1   152  4119.923  5649.000
     1   153  6263.634  8854.000
     1   154  3769.492  5161.000
     1   155  7411.872 10328.000
     1   156  4071.575  5679.000
     1   157  5009.980  6824.000
     1   158  4726.673  5372.000
     1   159  5458.261  7416.000
     1   160  3505.162  4041.000
     1   161  5538.417  7010.000
     1   162  4444.615  5633.000
     1   163  4818.609  6813.000
     1   164  2067.574  2319.000
     1   165  5863.504  8292.000
     1   166  5635.340  5826.000
     1   167  3985.341  5511.000
     1   168  4585.538  6235.000
     1   169  6087.325  8448.000
     1   170  5102.044  6146.000
     1   171  5235.213  6104.000
     1   172  5483.940  5771.000
     1   173  4190.876  5431.000
     1   174  3742.490  4979.000
     1   175  1276.832  1359.000
     1   176  7558.123 10253.000
     1   177  2336.148  2806.000
     1   178  1011.514  1419.000
     1   179   860.951  1014.000
     1   180  1181.248  1576.000
     1   181  1052.210  1477.000
     1   182  1893.184  2612.000
     1   183   858.997  1206.000
     1   184  3436.507  3495.000
     1   185  3448.969  4441.000
     1   186  1114.844  1373.000
     1   187   752.205  1045.000
     1   188  2982.450  4160.000
     1   189   915.311  1168.000
     1   190   989.237  1327.000
     1   191   816.414  1142.000
     1   192  2171.802  3062.000
     1   193   982.553  1336.000
     1   194  1491.263  1631.000
     1   195   686.047   802.000
     1   196  1197.167  1687.000
     1   197  1900.680  2636.000
     1   198   912.969  1151.000
     1   199  2402.197  2873.000
     1   200  1745.355  2271.000
     1   201  1041.830  1192.000
     1   202  2865.235  3602.000
     1   203  1279.285  1574.000
     1   204  3121.790  4414.000
     1   205  1948.092  2659.000
     1   206  3741.462  5291.000
     1   207   803.040  1025.000
     1   208  1016.682  1372.000
     1   209  2189.961  2817.000
     1   210  1839.216  2518.000
     1   211  1329.308  1801.000
     1   212  3796.841  5312.000
     1   213  2948.662  4169.000
     1   214  1809.283  1841.000
     1   215  1531.870  1763.000
     1   216   945.595  1013.000
     1   217  1835.000  2454.000
     1   218  2424.759  3310.000
     1   219   466.091   621.000
     1   220  1935.439  2075.000
     1   221  1761.547  2380.000
     1   222   733.933   904.000
     1   223  2153.938  2420.000
     1   224  1380.229  1860.000
     1   225  1808.036  2174.000
     1   226   964.520  1364.000
     1   227  1141.301  1480.000
     1   228  1579.027  1775.000
     1   229   915.573  1088.000
     1   230  1503.609  2104.000
     1   231  1154.513  1381.000
     1   232  3399.013  3481.000
     1   233  1246.625  1638.000
     1   234  2428.128  2501.000
     1   235  1843.424  2270.000
     1   236   784.757  1042.000
     1   237  1097.035  1551.000
     1   238  3385.897  4735.000
     1   239  3322.434  4237.000
     1   240  1287.488  1441.000
     1   241  2082.668  2841.000
     1   242   755.780  1042.000
     1   243  1022.065  1444.000
     1   244  1204.826  1483.000
     1   245  1142.174  1581.000
     1   246   982.101  1262.000
     1   247  1395.686  1918.000
     1   248  1172.109  1188.000
     1   249  2018.143  2830.000
     1   250  1042.763  1348.000
     2     3  1612.603  2257.000
     2     4  2198.605  2437.000
     2     5  2247.044  2821.000
     2     6  2177.742  2576.000
     2     7  2021.053  2665.000
     2     8  2167.059  3037.000
     2     9  1735.305  2242.000
     2    10  2635.583  3219.000
     2    11  2151.518  3034.000
     2    12  1673.503  2095.000
     2    13  2153.045  2167.000
     2    14   746.906   853.000
     2    15  2177.742  2576.000
     2    16  3397.781  3506.000
     2    17  2487.448  3146.000
     2    18  1645.573  2173.000
     2    19  3143.368  4100.000
     2    20  1446.499  1484.000
     2    21  1862.710  2422.000
     2    22   272.239   382.000
     2    23   181.342   247.000
     2    24  1867.229  2193.000
     2    25   784.182  1109.000
     2    26  2279.225  2793.000
     2    27   433.029   598.000
     2    28  1806.346  2209.000
     2    29  3143.368  4100.000
     2    30  2174.033  2266.000
     2    31  2068.290  2792.000
     2    32  1571.244  2220.000
     2    33   174.003   227.000
     2    34  1884.415  2551.000
     2    35  2429.935  3219.000
     2    36  2612.490  3321.000
     2    37  2079.006  2084.000
     2    38   806.048   968.000
     2    39  3006.175  4114.000
     2    40  2248.051  3170.000
     2    41  2994.981  3958.000
     2    42  3689.146  4094.000
     2    43  2931.892  3770.000
     2    44  1869.679  2050.000
     2    45  3064.041  3773.000
     2    46  2031.095  2214.000
     2    47  2612.954  3404.000
     2    48  2020.380  2557.000
     2    49  2371.675  2928.000
     2    50  1956.246  1987.000
     2    51  4089.612  4513.000
     2    52  2001.445  2369.000
     2    53  1974.073  1991.000
     2    54  1147.242  1479.000
     2    55  1526.425  2055.000
     2    56  1615.209  2181.000
     2    57  4033.583  4288.000
     2    58  2371.553  2772.000
     2    59  2177.651  2768.000
     2    60  1926.132  2721.000
     2    61  2815.164  3737.000
     2    62  2815.549  3603.000
     2    63  2398.067  3247.000
     2    64  2863.711  4004.000
     2    65  2317.033  3042.000
     2    66  2177.742  2576.000
     2    67  3163.162  4119.000
     2    68  2515.596  2663.000
     2    69  1986.424  2779.000
     2    70  1503.554  2082.000
     2    71  2721.083  3710.000
     2    72  1945.140  2356.000
     2    73  2507.570  2827.000
     2    74  1953.429  2153.000
     2    75  1396.731  1975.000
     2    76  5898.387  6813.000
     2    77   863.229   923.000
     2    78  3253.178  4400.000
     2    79  5562.309  6836.000
     2    80  5704.159  6572.000
     2    81  8467.912 11325.000
     2    82  5363.769  6215.000
     2    83  3555.379  4453.000
     2    84  1710.685  2190.000
     2    85  2590.418  3189.000
     2    86  3476.896  3820.000
     2    87  5027.106  5978.000
     2    88  5489.039  7492.000
     2    89  1948.589  2172.000
     2    90  3286.142  4373.000
     2    91  2899.891  4101.000
     2    92  5655.216  7888.000
     2    93  1309.325  1621.000
     2    94  5168.112  7242.000
     2    95  4269.856  5892.000
     2    96  4193.191  5298.000
     2    97  5390.509  6141.000
     2    98  4604.902  6512.000
     2    99  6540.173  8561.000
     2   100  4673.316  5460.000
     2   101  1805.494  2114.000
     2   102  5379.849  6295.000
     2   103   690.473   915.000
     2   104  2181.841  2397.000
     2   105  3412.601  4778.000
     2   106  2249.818  2950.000
     2   107  1721.562  1765.000
     2   108  2076.350  2917.000
     2   109  1288.872  1372.000
     2   110  4064.923  4940.000
     2   111  3228.740  4539.000
     2   112  3675.380  4947.000
     2   113  2206.899  3101.000
     2   114  3574.108  4940.000
     2   115  5149.516  5908.000
     2   116  5684.516  6197.000
     2   117  6336.069  6744.000
     2   118  6784.836  7563.000
     2   119  1647.116  2160.000
     2   120  5157.026  6472.000
     2   121  5415.038  7516.000
     2   122  5462.646  6977.000
     2   123  3261.129  4284.000
     2   124  1047.619  1083.000
     2   125  3286.142  4373.000
     2   126  3837.177  4314.000
     2   127  3612.501  4782.000
     2   128  1417.714  1772.000
     2   129  3691.411  4685.000
     2   130  2606.548  3668.000
     2   131  5915.556  7728.000
     2   132  5703.712  6584.000
     2   133  4671.123  5887.000
     2   134  2397.792  3233.000
     2   135  5887.958  8140.000
     2   136  3288.855  4532.000
     2   137  2949.974  4043.000
     2   138  3674.964  4982.000
     2   139   341.721   475.000
     2   140  5285.605  6762.000
     2   141  4596.041  6492.000
     2   142  5574.477  6815.000
     2   143  6112.532  6928.000
     2   144  5142.554  6909.000
     2   145  4684.087  6233.000
     2   146  3836.891  4805.000
     2   147  3154.417  4432.000
     2   148  1726.396  1763.000
     2   149  2366.893  2894.000
     2   150  3363.201  4709.000
     2   151  2137.442  2418.000
     2   152  1870.725  1985.000
     2   153  4148.149  4954.000
     2   154  3473.048  4747.000
     2   155  5847.221  6428.000
     2   156  2147.250  2461.000
     2   157  2325.706  2924.000
     2   158  5328.174  7390.000
     2   159  4648.073  5554.000
     2   160  5320.059  7453.000
     2   161  5355.602  6906.000
     2   162  1302.194  1733.000
     2   163  3250.986  3557.000
     2   164  4320.563  5731.000
     2   165  3960.571  4392.000
     2   166  6622.163  9238.000
     2   167  1945.852  2231.000
     2   168  2013.190  2335.000
     2   169  4815.025  5068.000
     2   170  5327.729  7192.000
     2   171  5596.786  7602.000
     2   172  6556.235  9183.000
     2   173  1308.335  1531.000
     2   174  1374.578  1617.000
     2   175  3880.204  4771.000
     2   176  6393.125  6433.000
     2   177  5937.940  6218.000
     2   178  2983.539  3719.000
     2   179  3977.690  4914.000
     2   180  3250.395  3966.000
     2   181  4343.575  4889.000
     2   182  2409.289  3312.000
     2   183  3155.709  3558.000
     2   184  7098.470  7395.000
     2   185  6952.715  7853.000
     2   186  3458.084  4187.000
     2   187  4329.685  4945.000
     2   188  1929.282  2716.000
     2   189  2793.666  2854.000
     2   190  2778.065  2969.000
     2   191  3009.745  3242.000
     2   192  2599.817  3660.000
     2   193  3237.942  3794.000
     2   194  4177.175  5531.000
     2   195  3554.108  3958.000
     2   196  2961.030  3555.000
     2   197  5395.699  6536.000
     2   198  3430.234  3997.000
     2   199  6005.813  6285.000
     2   200  5290.755  5683.000
     2   201  4685.700  4766.000
     2   202  5417.617  7502.000
     2   203  3459.385  4304.000
     2   204  2501.419  3500.000
     2   205  2310.092  3179.000
     2   206  2573.388  3363.000
     2   207  3426.618  3901.000
     2   208  4612.751  5272.000
     2   209  5731.728  6229.000
     2   210  2382.094  3248.000
     2   211  4841.492  5213.000
     2   212  3130.508  4196.000
     2   213  2485.698  3505.000
     2   214  4220.918  5741.000
     2   215  5190.752  5663.000
     2   216  3910.504  4913.000
     2   217  3422.229  4744.000
     2   218  5399.739  7210.000
     2   219  3265.327  3679.000
     2   220  5599.528  5975.000
     2   221  5245.939  5792.000
     2   222  4363.253  4410.000
     2   223  5791.145  5832.000
     2   224  4897.553  5272.000
     2   225  5418.667  5586.000
     2   226  3011.759  3422.000
     2   227  4155.310  4892.000
     2   228  3891.966  5255.000
     2   229  4013.991  4988.000
     2   230  4905.789  5516.000
     2   231  2530.024  2541.000
     2   232  7055.837  7215.000
     2   233  4807.453  5050.000
     2   234  6091.306  6401.000
     2   235  5437.750  5682.000
     2   236  4405.553  4942.000
     2   237  3079.228  3937.000
     2   238  2975.975  4125.000
     2   239  5836.006  8137.000
     2   240  4949.844  5341.000
     2   241  5521.519  6253.000
     2   242  4077.276  4454.000
     2   243  4375.822  4856.000
     2   244  3617.953  4739.000
     2   245  3113.504  3743.000
     2   246  4053.929  4674.000
     2   247  4944.088  5818.000
     2   248  3756.432  4568.000
     2   249  3047.263  4270.000
     2   250  2753.480  3302.000
     3     4  1509.698  2110.000
     3     5  1850.739  2494.000
     3     6  1640.391  2249.000
     3     7  1866.068  2338.000
     3     8  2318.600  2710.000
     3     9   474.587   671.000
     3    10  2062.347  2892.000
     3    11  2391.294  2707.000
     3    12  1493.680  1768.000
     3    13  1303.749  1840.000
     3    14  1014.601  1404.000
     3    15  1640.391  2249.000
     3    16  2362.719  3179.000
     3    17  2051.006  2819.000
     3    18  2545.174  3090.000
     3    19  1946.622  2045.000
     3    20  1014.754  1157.000
     3    21  1714.623  2095.000
     3    22  1884.801  2639.000
     3    23  1779.969  2504.000
     3    24   810.195  1144.000
     3    25   843.854  1148.000
     3    26  1802.923  2466.000
     3    27  1181.166  1659.000
     3    28  1498.432  1882.000
     3    29  1946.622  2045.000
     3    30  1376.910  1939.000
     3    31   540.023   545.000
     3    32  2135.422  2353.000
     3    33  1578.157  2162.000
     3    34  1891.345  2224.000
     3    35  2176.532  2892.000
     3    36  2164.611  2994.000
     3    37  1249.107  1757.000
     3    38   931.973  1289.000
     3    39  2805.851  3787.000
     3    40   760.700   913.000
     3    41  2621.561  3631.000
     3    42  2431.586  2907.000
     3    43  2463.352  3443.000
     3    44  1287.109  1723.000
     3    45  2438.318  3446.000
     3    46  1368.046  1887.000
     3    47  2251.521  3077.000
     3    48  1722.966  2230.000
     3    49  1890.878  2601.000
     3    50  1145.972  1598.000
     3    51  2820.783  3290.000
     3    52  1528.239  2042.000
     3    53  1195.595  1664.000
     3    54   892.558   994.000
     3    55  1663.310  1728.000
     3    56  2455.342  2936.000
     3    57  2821.718  3435.000
     3    58  1748.454  2445.000
     3    59   808.594  1023.000
     3    60   357.279   464.000
     3    61  2490.939  3410.000
     3    62  2350.321  3276.000
     3    63   838.214   990.000
     3    64  1401.113  1747.000
     3    65  2055.571  2715.000
     3    66  1640.391  2249.000
     3    67  2705.680  3792.000
     3    68  1465.241  2032.000
     3    69  2170.256  2452.000
     3    70   144.309   175.000
     3    71  2546.558  3383.000
     3    72  1237.297  1747.000
     3    73  1769.669  2500.000
     3    74   995.498  1404.000
     3    75  1957.304  2224.000
     3    76  4929.570  6486.000
     3    77  2201.630  3056.000
     3    78  4761.824  6657.000
     3    79  4745.541  6509.000
     3    80  6599.024  6935.000
     3    81  7862.331 10998.000
     3    82  4418.428  5888.000
     3    83  4365.223  4592.000
     3    84  3183.332  4447.000
     3    85  3512.452  4060.000
     3    86  4722.144  6077.000
     3    87  4151.209  5651.000
     3    88  5068.917  7165.000
     3    89  3277.972  4429.000
     3    90  2901.549  4046.000
     3    91  3117.810  3774.000
     3    92  5387.332  7561.000
     3    93  2409.309  3152.000
     3    94  4971.552  6915.000
     3    95  3990.204  5565.000
     3    96  3526.790  4971.000
     3    97  6312.276  6774.000
     3    98  4671.256  6185.000
     3    99  7104.693  8234.000
     3   100  3774.903  5133.000
     3   101  3187.998  4371.000
     3   102  6255.315  6530.000
     3   103  2242.965  3172.000
     3   104  3483.617  4654.000
     3   105  3770.767  4451.000
     3   106  3732.364  5207.000
     3   107  2999.915  4022.000
     3   108  3658.577  5174.000
     3   109  2553.710  3457.000
     3   110  3297.443  4613.000
     3   111  3227.890  4212.000
     3   112  3300.200  4620.000
     3   113  3788.723  5358.000
     3   114  3368.140  4613.000
     3   115  6066.003  6515.000
     3   116  4618.409  5870.000
     3   117  7485.864  9001.000
     3   118  7712.909  8162.000
     3   119  3146.976  4417.000
     3   120  5887.877  6145.000
     3   121  5113.915  7189.000
     3   122  4761.623  6650.000
     3   123  4727.147  6541.000
     3   124  2371.852  3268.000
     3   125  2901.549  4046.000
     3   126  4831.541  5549.000
     3   127  4259.698  4455.000
     3   128  2479.521  3195.000
     3   129  3081.743  4358.000
     3   130  4189.698  5925.000
     3   131  5275.965  7401.000
     3   132  6961.974  8841.000
     3   133  5409.164  5560.000
     3   134  3913.088  5490.000
     3   135  6210.116  7813.000
     3   136  3780.994  4205.000
     3   137  4482.343  6300.000
     3   138  4221.030  4655.000
     3   139  1954.083  2732.000
     3   140  4597.405  6435.000
     3   141  4569.844  6165.000
     3   142  4743.658  6488.000
     3   143  7026.148  7427.000
     3   144  4654.188  6582.000
     3   145  4176.185  5906.000
     3   146  3171.922  4478.000
     3   147  4731.568  6689.000
     3   148  2969.260  3946.000
     3   149  3766.220  5151.000
     3   150  3295.730  4382.000
     3   151  3236.149  4071.000
     3   152  3065.697  4006.000
     3   153  5473.698  7211.000
     3   154  3994.542  4420.000
